balance_trade_growth,net_capital_export,average_provision_of_build_contract_moscow,micex,deposits_growth,mortgage_value,mortgage_rate,income_per_cap,unemployment,electric_stove_share,rent_price_4+room_bus,rent_price_3room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,students_state_oneshift,old_education_build_share,provision_doctors,students_reg_sports_share,apartment_fund_sqm
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,0,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,857,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,866,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,858,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,859,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,860,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,861,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,862,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,863,18,63.0299987793,230310
10.5,-0.0663475766778,6.59000015259,1496.88000488,0.0140789700672,142968,13.720000267,30789.1992188,0.0179999992251,55,162,92.9899978638,52,47.3499984741,39.4700012207,31.1100006104,97.8483963013,864,18,63.0299987793,230310
