id,price_doc
30474,5524873.291349
30475,8180033.613200
30476,5061739.699966
30477,6241722.327769
30478,5257686.655696
30479,8313715.343534
30480,4826361.328199
30481,4550627.054909
30482,5136096.170667
30483,4771112.892165
30484,6087932.958058
30485,5037963.427760
30486,3891305.699822
30487,4133302.421859
30488,5944730.605821
30489,6381342.619314
30490,20103508.313986
30491,16428942.067079
30492,5803707.091734
30493,12874957.264094
30494,7218315.751675
30495,9724357.451768
30496,8853370.085525
30497,8873719.224634
30498,4491714.505039
30499,7594487.109361
30500,10472045.787527
30501,6488533.673319
30502,3289170.177658
30503,6015248.439098
30504,5502222.066181
30505,11466544.699711
30506,3244100.467066
30507,5033674.670103
30508,5783257.293094
30509,7450121.904065
30510,9021819.750113
30511,6405588.893483
30512,6394349.822016
30513,4815260.111947
30514,3655830.769908
30515,9229176.296805
30516,6267089.033473
30517,10335786.355295
30518,7501438.261044
30519,4702715.611006
30520,6274012.737207
30521,5303019.936904
30522,7751498.992173
30523,5750294.947138
30524,9119396.174190
30525,9405838.427405
30526,4999818.072627
30527,5104092.445179
30528,6105381.639263
30529,6489640.874817
30530,6317242.136681
30531,13852556.028092
30532,5070520.929090
30533,9520821.206322
30534,7080460.232584
30535,9077942.519433
30536,5818633.354185
30537,10757516.692295
30538,4811024.229300
30539,8967803.585454
30540,9384347.916608
30541,6320799.707199
30542,2307188.545505
30543,5380083.756666
30544,6953121.511327
30545,8346371.195114
30546,4417204.438607
30547,8750303.489591
30548,4848810.533583
30549,5312271.369379
30550,11687181.276360
30551,5359138.825054
30552,2103091.848642
30553,7403100.617654
30554,11123187.620715
30555,6807888.850981
30556,8196770.797622
30557,7284879.555016
30558,9214034.760915
30559,5990236.829685
30560,5707144.765400
30561,6577520.922295
30562,11946164.325859
30563,4573624.039784
30564,6626949.401407
30565,7363596.740666
30566,7288083.980335
30567,2219129.527276
30568,9942118.136387
30569,8886790.178590
30570,6723121.458344
30571,6686792.538340
30572,5103337.726716
30573,6273076.604537
30574,5948948.199414
30575,7297565.423477
30576,4485868.240501
30577,3822386.427973
30578,3131410.717558
30579,6689731.707813
30580,4387318.819673
30581,5359740.932563
30582,11224582.791843
30583,7283507.777883
30584,4555663.892553
30585,2903134.491934
30586,8940758.054365
30587,6131129.422253
30588,7433878.429914
30589,7480701.346680
30590,12804986.024678
30591,4670629.581153
30592,6372002.746696
30593,8303961.034065
30594,7609104.113134
30595,5348693.120429
30596,7187364.623529
30597,6292144.314859
30598,9303597.393137
30599,12775164.280399
30600,5578405.137651
30601,5930262.443759
30602,2139646.957728
30603,12188340.575292
30604,4563633.758947
30605,6570567.091869
30606,16100663.789558
30607,6273031.317010
30608,8616204.454878
30609,6429424.468178
30610,3187564.669553
30611,5888519.393916
30612,7009126.044047
30613,7717348.913029
30614,17297495.084244
30615,7251010.717351
30616,6069835.421451
30617,9007515.086591
30618,4715933.776550
30619,4460095.192400
30620,2906566.773537
30621,8595154.918612
30622,8364395.399027
30623,5780314.030887
30624,7128423.004578
30625,8185042.577295
30626,5638727.928209
30627,7375187.765541
30628,6200502.973456
30629,5404416.118568
30630,4769735.930984
30631,6287468.901802
30632,4237733.896084
30633,5728850.768543
30634,10371968.705367
30635,9342056.711201
30636,5674844.874743
30637,9049385.033706
30638,6054869.938642
30639,7069000.965617
30640,5060021.435641
30641,8421165.392872
30642,6458431.901196
30643,7320737.607749
30644,9333867.070018
30645,7484403.373523
30646,5187232.760438
30647,5254907.131456
30648,20857816.892385
30649,2801719.648227
30650,4657416.595275
30651,3261985.585211
30652,4987022.082794
30653,7736850.910857
30654,4757644.302418
30655,10591338.966463
30656,4043114.691268
30657,6111990.411202
30658,9504051.496324
30659,5095294.334063
30660,8477210.536367
30661,6417057.026600
30662,9188882.784732
30663,14840569.020370
30664,12509476.910068
30665,6466602.692579
30666,2938288.430356
30667,4395533.592784
30668,8322597.177431
30669,5082018.355434
30670,2720863.444698
30671,6905928.018800
30672,12199671.044803
30673,10121304.171057
30674,10942074.451332
30675,2301118.803540
30676,6812022.414968
30677,4040224.921696
30678,17026603.487196
30679,5530499.754683
30680,5287266.861346
30681,2541087.363907
30682,8382097.446649
30683,9675095.227902
30684,4735524.200092
30685,6828189.822975
30686,9217150.833945
